"","recid","ASVAB_gs","ASVAB_ar","ASVAB_wk","ASVAB_pc","ASVAB_no","ASVAB_cs","ASVAB_asi","ASVAB_mk","ASVAB_mc","ASVAB_ei","RSE1_1980","RSE2_1980","RES3_1980","RES4_1980","RES5_1980","RES6_1980","RES7_1980","RES8_1980","RES9_1980","RES10_1980","ROSENBERG_SCORE_1980","ROTTER_1A_1979","ROTTER_1B_1979","ROTTER_2A_1979","ROTTER_2B_1979","ROTTER_3A_1979","ROTTER_3B_1979","ROTTER_4A_1979","ROTTER_4B_1979","ROTTER_SCORE_1979","med","nsib","race","male","nuclear","urban","moth_age_birth","income","cross_sction","sex","fed","yob","ageASVAB","ageRES","ageROTTER","acgrd_1","acgrd_2","acgrd_3","acgrd_4","acgrd_5","acgrd_6","acgrd_7","acgrd_8","acgrd_9","acgrd_10","acgrd_11","acgrd_12","acgrd_13","_merge"
"1194",3418,46,43,42,53,61,60,51,46,44,42,2,1,3,2,3,2,2,3,3,3,21,1,2,2,1,1,1,2,1,8,13,7,3,0,0,1,23,36.7832450866699,1,2,12,1964,17,16,15,11,12,12,12,12,12,12,12,12,0,0,0,0,3
"1195",3421,62,49,59,62,43,51,46,49,52,58,2,2,4,2,4,2,2,3,2,2,20,2,2,1,2,2,2,2,1,9,16,4,3,0,1,1,22,92.3914337158203,1,2,16,1961,20,19,18,11,12,12,12,12,12,12,12,12,12,12,12,0,3
"1196",3422,62,55,50,56,52,50,51,62,53,58,2,2,3,2,3,2,2,3,2,2,18,1,1,1,1,2,2,1,1,9,16,4,3,0,1,1,23,83.3144454956055,1,2,12,1962,19,18,17,10,11,12,13,14,15,16,16,16,16,16,0,0,3
"1197",3425,62,61,56,50,55,52,57,58,61,60,1,1,4,1,4,1,1,4,4,4,30,1,1,2,2,1,2,2,2,8,13,4,3,1,1,1,35,47.3467140197754,1,1,12,1964,17,16,15,10,11,12,13,13,13,13,13,13,13,0,0,0,3
"1198",3427,60,62,59,59,57,54,37,62,44,46,1,1,4,2,3,2,2,2,3,3,22,1,2,2,1,1,1,1,1,11,12,3,3,0,1,1,32,106.772300720215,1,2,16,1961,20,19,18,12,13,13,14,14,14,0,0,0,0,0,0,0,3
"1199",3431,68,66,61,59,49,54,67,68,68,70,2,1,4,1,4,2,2,3,4,4,26,1,2,1,2,1,1,2,2,7,16,6,3,1,1,1,31,110.748497009277,1,1,16,1963,18,17,16,11,12,13,14,15,16,16,17,17,17,0,0,0,3
"1200",3438,20,26,20,20,46,22,24,29,24,23,1,1,4,1,2,2,2,2,3,3,22,2,1,2,1,2,1,1,1,16,8,10,2,0,1,0,33,22.849889755249,1,2,2,1964,17,16,15,7,7,7,7,7,7,0,0,0,0,0,0,0,3
"1201",3442,66,62,61,56,55,54,48,66,50,51,2,2,3,2,3,2,2,3,2,3,19,1,2,2,1,1,1,2,1,8,15,2,3,0,1,1,26,60.2412109375,1,2,15,1962,19,18,17,10,11,12,13,14,15,16,16,16,16,16,16,0,3
"1202",3443,54,61,61,62,55,46,58,65,53,60,1,1,4,1,4,1,1,4,3,4,29,2,2,2,2,1,2,1,2,11,16,2,3,1,1,1,27,77.6458282470703,1,1,12,1963,18,17,16,11,12,13,14,15,16,16,17,0,0,0,0,0,3
"1203",3452,38,54,43,47,53,36,49,46,46,44,2,2,3,2,3,2,2,3,3,3,20,2,1,2,1,1,2,2,1,11,12,1,3,0,1,1,20,34.9595985412598,1,2,12,1963,18,17,16,11,12,12,12,12,12,12,12,12,12,0,0,0,3
