"","recid","ASVAB_GS","ASVAB_AR","ASVAB_WK","ASVAB_PC","ASVAB_NO","ASVAB_CS","ASVAB_AI","ASVAB_SI","ASVAB_MK","ASVAB_MC","ASVAB_EI","ASVAB_AO","sex","moth_age_birth","cross_sction","med","race","nsib","nuclear","urban","income","fed","yob","AGE_ASVAB","acgrd_1","acgrd_2","acgrd_3","acgrd_4","acgrd_5","acgrd_6","acgrd_7","acgrd_8","acgrd_9","acgrd_10","acgrd_11","acgrd_12","acgrd_13","_merge"
"70",226,-1198,-2432,-1152,-906,17479,4401,-927,-1988,-2429,-1350,-1460,-1975,2,20,1,9,1,3,0,1,2.68196487426758,NA,1981,18,11,12,13,13,13,13,13,14,14,0,0,0,0,3
"71",235,-439,152,-94,-46,23808,12332,-1325,-1458,983,-47,-293,-71,2,21,1,10,4,2,1,1,4.82753658294678,15,1981,18,11,12,13,14,15,16,16,16,16,16,16,16,0,3
"72",241,60,-485,-921,352,16867,4900,-1058,-1091,2,-989,-1045,-300,2,23,1,18,2,3,1,1,75.3699264526367,16,1983,16,11,12,13,14,15,16,16,16,16,16,0,0,0,3
"73",247,-163,719,-35,1286,33346,13349,-990,-915,761,-497,-341,-63,1,24,1,13,4,2,1,1,43,13,1982,17,11,12,13,14,15,16,16,16,16,16,16,0,0,3
"74",248,210,-255,202,1161,30114,6032,-1306,-1112,1273,-178,-845,-132,2,26,1,13,4,2,1,1,30.6342277526855,13,1983,16,11,12,13,14,14,15,16,16,16,16,0,0,0,3
"75",250,-754,-1970,-620,-1630,17357,4911,-2101,-1427,68,-761,-1539,-1026,1,26,1,13,4,2,1,1,101.110069274902,12,1981,18,11,11,11,11,11,11,11,11,11,11,11,11,0,3
"76",251,545,-157,-637,526,14453,8368,-437,-654,933,1036,332,444,1,29,1,11,2,2,1,1,37.5050010681152,14,1982,17,11,12,13,14,15,16,17,17,17,17,17,0,0,3
"77",265,-1143,-1006,-2131,-909,14834,4042,-1171,-1219,-1691,-2307,-1047,-1139,1,23,1,6,2,5,1,1,36.3720664978027,6,1983,16,10,11,12,13,13,13,13,13,13,13,0,0,0,3
"78",267,902,1027,510,900,22287,4920,-1369,-504,1419,10,86,765,2,31,1,13,4,1,1,1,34.3398780822754,12,1980,19,10,11,12,13,14,15,16,17,17,17,17,17,17,3
"79",268,-186,-389,-404,-164,15462,3564,-49,-353,-115,-228,-518,689,1,26,1,11,2,3,0,1,76.2750778198242,11,1981,18,9,10,11,12,12,12,12,12,12,12,13,13,0,3
"80",269,150,-352,436,188,14151,6416,-764,-534,191,-27,-921,483,2,30,1,16,4,2,1,1,88.5048370361328,12,1981,18,10,10,11,12,12,12,12,12,12,12,12,12,0,3
"81",271,-1613,-947,-1737,-1139,16968,4685,-1559,-797,-522,-1502,-1653,-699,2,29,1,12,4,1,1,1,70.1601943969727,12,1982,17,10,10,10,10,10,10,10,10,10,10,10,0,0,3
"82",278,676,396,127,66,14908,7704,-651,-712,893,31,-463,479,1,27,1,14,4,2,1,0,66.5556411743164,16,1980,19,11,12,12,12,12,12,12,12,12,12,12,12,12,3
